title,publisher,YEAR,author keywords,scopusDistributionDate;;;;;;;;;;;;;;;;;;
    COVID-19 Deep Learning Prediction Model Using Publicly Available Radiologist-Adjudicated Chest X-Ray Images as Training Data: Preliminary Findings   ,Hindawi Limited,2020,,2020-12-13;;;;;;;;;;;;;;;;;;
COVID-19 detection in CT images with deep learning: A voting-based scheme and cross-datasets analysis,Elsevier Ltd,2020,Chest radiography; COVID-19; Deep learning; EfficientNet; Pneumonia,2021-02-04;;;;;;;;;;;;;;
   Decoding COVID-19 pneumonia: comparison of deep learning and radiomics CT image signatures,Springer Science and Business Media Deutschland GmbH,2020,AI interpretability; Coronavirus disease 2019 pneumonia; CT chest; Explainable AI; Machine learning,2021-01-28;;;;;;;;;;;;;;
Deep learning for automatic quantification of lung abnormalities in COVID-19 patients: First experience and correlation with clinical parameters,Elsevier Ltd,2020,Computed tomography; COVID-19; Deep learning; Lung infection,2020-12-11;;;;;;;;;;;;;;;
COVID-19 Detection through Transfer Learning Using Multimodal Imaging Data,  Institute of Electrical and Electronics Engineers Inc.,2020,CNN models; COVID-19 detection; image processing; model comparison; ultrasound and CT based detection; X-ray,2021-02-19;;;;;;;;;;;;;
A deep-learning-based framework for automated diagnosis of COVID-19 using X-ray images,MDPI AG,2020,Coronavirus; COVID-19; Deep-learning; Pandemic; Transfer-learning,2020-09-23;;;;;;;;;;;;;;
Deep Learning-Based COVID-19 Diagnosis and Trend Predictions,Springer,2020,Artificial intelligence; COVID-19; CT images; Deep learning; SEIR model,2020-09-08;;;;;;;;;;;;;;
"â€œFast deep learning computer-aided diagnosis of COVID-19 based on digital chest x-ray imagesâ€,Springer,2020,""Artificial intelligence (AI), Deep learning"; COVID-19; Diagnosis; Respiratory diseases;" Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)"",2020-12-03";;;;;;;;;;;;;;
COVID-19 CT Image Synthesis with a Conditional Generative Adversarial Network,Institute of Electrical and Electronics Engineers Inc.,2020,computed topography; conditional generative adversarial network; COVID-19; image synthesis,2021-02-19;;;;;;;;;;;;;;;
Ultra-low-dose chest CT imaging of COVID-19 patients using a deep residual neural network,Springer,2020,Artificial intelligence; COVID-19; Deep learning; Tomography X-ray computed,02/03/21;;;;;;;;;;;;;;;
Efficient gan-based chest radiographs (CXR) augmentation to diagnose coronavirus disease pneumonia,Ivyspring International Publisher,2020,Chest diseases; Coronavirus; Deep learning; Inception-V3; ResNet-152; X-ray,2020-08-20;;;;;;;;;;;;;
A classificationâ€“detection approach of COVID-19 based on chest X-ray and CT by using keras pre-trained deep learning models,Tech Science Press,-2020,COVID-19 detection; Deep learning; Pre-trained models; Transfer learning,2020-10-24;;;;;;;;;;;;;;;
LSTM based Emotion Detection using Physiological Signals: IoT framework for Healthcare and Distance Learning in COVID-19,Institute of Electrical and Electronics Engineers,2020,Artificial Intelligence (AI); Coronavirus (Covid-19); Human Emotion Analysis; Internet of Things (IoTs); Long Short-Term Memory (LSTM); Wearable physiological signals.,2020-12-25;;;;;;;;;;;;;
Explainable AI and Mass Surveillance System-based Healthcare Framework to Combat COVID-19 like Pandemics,Institute of Electrical and Electronics Engineers Inc.,2020,,2020-08-04;;;;;;;;;;;;;;;;;;
Explainable AI and mass surveillance system-based healthcare framework to combat COVID-I9 like pandemics,Institute of Electrical and Electronics Engineers Inc.,2020,,2020-08-04;;;;;;;;;;;;;;;;;;
Classification of the COVID-19 infected patients using DenseNet201 based deep transfer learning,Taylor and Francis Ltd.,2020,classification; COVID-19; deep learning; deep transfer learning,2020-12-25;;;;;;;;;;;;;;;
COVID-19-CT-CXR: a freely accessible and weakly labeled chest X-ray and CT image collection on COVID-19 from biomedical literature,Institute of Electrical and Electronics Engineers Inc.,2020,Chest X-ray; COVID-19; CT,2021-01-18;;;;;;;;;;;;;;;;
DeepCOVIDNet: An Interpretable Deep Learning Model for Predictive Surveillance of COVID-19 Using Heterogeneous Features and Their Interactions,Institute of Electrical and Electronics Engineers Inc.,2020,COVID-19; deep learning; disease spread modeling; feature interactions; interpretable machine learning; pandemic surveillance; policy making,2020-12-23;;;;;;;;;;;;
Attention-based VGG-16 model for COVID-19 chest X-ray image classification,Springer,-2020,Chest x-rays; Classification; COVID-19; Deep learning; SARS-CoV2,2020-11-19;;;;;;;;;;;;;;
Weakly-Supervised Network for Detection of COVID-19 in Chest CT Scans,Institute of Electrical and Electronics Engineers,2020,Attention; computed tomography; COVID-19; deep learning; detection; enhancement; LSTM; segmentation; weakly-supervised learning,2020-12-16;;;;;;;;;;
CovidGAN: Data Augmentation Using Auxiliary Classifier GAN for Improved Covid-19 Detection,Institute of Electrical and Electronics Engineers Inc.,2020,Convolutional neural networks; COVID-19 detection; Deep learning; Generative adversarial networks; Synthetic data augmentation,2021-01-10;;;;;;;;;;;;;;
Detection of coronavirus disease from X-ray images using deep learning and transfer learning algorithms,IOS Press BV,2020,automatic detections; chest X-ray images; Deep learning; detection of COVID-19; InceptioNetV3; NASNetlarge; novel coronavirus; transfer learning,2021-01-26;;;;;;;;;;;
